Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,689.36,354.41,-917.94,373.43,1151.29,-1575.19,-4404.81,-1252.67,3502.92,1866.59
Cash from Investing Activity,-708.97,-1095.17,-1103.63,-1090.15,-882.37,-1470.91,-1307.76,-1481.36,-2898.96,-2964.47
Cash from Financing Activity,-58.93,896.54,2209.77,1619.17,263.5,2918.02,6118.08,3238.64,1155.24,909.33
Net Cash Flow,-78.54,155.78,188.2,902.45,532.42,-128.08,405.51,504.61,1759.2,-188.55
PRICE:,430.8,619.3,470.9,297.55,585.05,625.65,1077.2,2151.85,2419.85,3363.8
Adjusted Equity Shares in Cr,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51,47.51
