Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,10113.94,9942.48,10314.47,11301.68,11034.88,11542,12210.05,14051.22,14755.52,15052.73
Expenses,8638.73,8487.4,8883.6,9678.14,9401.91,9638.36,10407.13,11941.12,12488.11,12880.89
Other Income,11.88,-33.87,48.32,32.31,69.61,-57.35,39.66,-14,-60.38,6.65
Depreciation,242.42,263.38,241.34,259.29,258.43,291.8,314.83,320.42,322.85,314.54
Interest,494.44,510.82,499.87,509.04,536.09,550.8,550.56,552.39,561.05,565.82
Profit before tax,750.23,647.01,737.98,887.52,908.06,1003.69,977.19,1223.29,1323.13,1298.13
Tax,240.62,235.48,253.16,299.39,298.71,306.18,334.33,390.53,431.87,478.58
Net profit,478.75,386.98,460.88,560.49,566.03,648.16,610.04,795.48,841.29,771.52
Operating Profit,1475.21,1455.08,1430.87,1623.54,1632.97,1903.64,1802.92,2110.1,2267.41,2171.84
