Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,4007.18,4017.21,1032.28,5518.13,4110.45,2103.7,2613.84,4923.07,4297.39,8314.62
Cash from Investing Activity,-1971.95,-1858.21,1297.63,-2819.14,-2289.32,-221.97,-421.33,-1827.87,-1703.35,-4477.77
Cash from Financing Activity,-2035.86,-2102.45,-2252.4,-2601.8,-1851.82,-1975.33,-2147.23,-2716.59,-2815.39,-3533.69
Net Cash Flow,-0.63,56.55,77.51,97.19,-30.69,-93.6,45.28,378.61,-221.35,303.16
PRICE:,3221.95,3542.8,2553.15,1596.45,2913.6,2294.15,2347.35,4722.3,3722.95,5063
Adjusted Equity Shares in Cr,19.97,19.97,19.97,19.97,19.98,19.98,19.98,19.99,20,20.01
