Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,9787.86,9616.68,10210.79,10482.93,10259.89,9969.81,9727.75,12218.39,12486.82,12978.28
Expenses,8402.98,8297.68,8803.65,9033.12,8843.91,8529.06,8314.85,10452.38,10735.16,11108.58
Other Income,287.86,177.33,224.81,238.66,306.42,345.23,939.38,240.39,178.76,210.04
Depreciation,193.92,196.61,205.44,206.1,208.91,204.14,205.61,210.27,218.61,220.5
Interest,22.74,7.64,18.85,18.32,16.55,16.93,20.66,19.25,19.64,18.72
Profit before tax,1456.08,1292.08,1407.66,1464.05,1496.94,1564.91,2126.01,1776.88,1692.17,1840.52
Tax,364.96,348.62,375.45,397.58,388.56,396.16,420.36,455.9,417.02,366.6
Net profit,1093.41,935.01,1045.89,1063.71,1107.55,1161.33,1705.29,1308.89,1267.55,1460
Operating Profit,1384.88,1319,1407.14,1449.81,1415.98,1440.75,1412.9,1766.01,1751.66,1869.7
