Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,3267.36,4327.84,2486.86,3850.44,3119.88,4197.21,5277.42,6558.16,-1405.57,2596.6
Cash from Investing Activity,-3609.68,-1954.48,-272.77,1765.83,-2869.15,276.2,1211.21,-71.97,-1053.42,-7033.88
Cash from Financing Activity,-190.09,-1885.26,-2074.05,-6246.51,-19.52,-4056.33,-7180.7,-6167.36,4230.07,5079.45
Net Cash Flow,-532.41,488.1,140.04,-630.24,231.21,417.08,-692.07,318.83,1771.08,642.17
PRICE:,2805.45,2744.7,2911.1,2022.35,3670.6,3653,3884.75,9148.15,7878.85,8781.5
Adjusted Equity Shares in Cr,28.94,28.94,28.94,28.94,28.94,28.94,28.3,27.92,27.93,27.95
