Metric,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26
Cash from Operating Activity,-181.8,-140.4,-226.2,-871.2,-267.6,-720.7,31.89
Cash from Investing Activity,-122.9,-172.1,50.8,-135.1,57.8,-100.1,-2526.51
Cash from Financing Activity,312.6,296.5,227.5,1317.4,633.2,702.9,2496.53
Net Cash Flow,7.9,-16,52.1,311.1,423.4,-117.9,1.91
Adjusted Equity Shares in Cr,0.01,0.01,0.01,0.01,0.01,29.06,38.27
