Metric,Mar-24,Jun-24,Sep-24,Dec-24,Mar-25,Jun-25,Sep-25,Dec-25,Mar-26
Sales,523.4,360.5,583.5,634.9,676.08,644.6,898.9,953.64,1174.66
Expenses,761.9,488.9,722.9,775.6,848.37,778.9,1031.4,1025.57,1244.24
Other Income,12,7.9,15.4,15.2,11.71,28.3,41.8,37.05,39.11
Depreciation,37.7,39.5,42.6,43.7,45.24,48.1,42.6,30.43,51.8
Interest,19.1,22.9,30.6,28.6,28.54,24.1,20.8,19.33,17.96
Profit before tax,-283.3,-182.9,-197.2,-197.8,-234.36,-178.2,-154.1,-84.64,-100.23
Tax,,,,,,,,,
Net profit,-283.3,-182.9,-197.2,-197.8,-234.36,-178.2,-154.1,-84.64,-100.23
Operating Profit,-238.5,-128.4,-139.4,-140.7,-172.29,-134.3,-132.5,-71.93,-69.58
