Metric,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25
Cash from Operating Activity,-252.03,-884.95,-1507.27,-633.09,-2391
Cash from Investing Activity,548.94,-1321.83,-318.55,-1136.28,-2864
Cash from Financing Activity,3.15,3084.83,658.7,1589.96,5429
Net Cash Flow,300.07,878.05,-1167.12,-179.4,174
Adjusted Equity Shares in Cr,0.00,195.54,195.54,195.54,441.08
